Timestamp,Do you agree to participate in this survey?,1. Your Location,2. Your Region/State,3. What is your age group?,4. What is your approximate monthly household income?(MMK),5. What is the highest level of education you have completed?,6. How often do you use single-use plastic items in your weekly life?,7.Which of the following single-use plastic items do you usually use in your weekly life?,8. Where do you usually get your single-use plastic from?,9. How many plastic bags do you usually get from shops or markets in your weekly life?,"10. When buying street food or market food, how often does it come in plastic?","11. Compared to what you see outside (litter, packaging, shops), do you think you personally use:",12. What do you often do with your plastic waste after you use the product?,13. What do you think happens to the plastic you throw in the bin in your region?,14. How aware are you that plastic production and disposal contributes to climate change?,15. Do you believe current plastic usage in Myanmar is contributing to climate change?,16. When do you think the effects of today’s plastic usage on climate change will become noticeable?,17. Would you support reducing single-use plastics or replacing them with alternatives?,18. Do you think that plastic waste is burned?,19. What percentage of plastic waste do you think is burned?,20. Do you think that plastic waste usually ends up in a landfill site?,21. What percentage of plastic waste ends up in a landfill or dumping ground?,22. How do you think plastic waste in landfills and open burning affects climate change?
2/13/2026 14:03:20,Yes,Rural,Shan,18-25,"More than 1,000,000",University/College,3-5,"Plastic bags, Disposable forks","Local markets, Coffee/tea shops",0,Always,About the same,Reuse,Ends up in landfills,Very aware,Yes,Already visible now,Strongly support,No,About half (26%-50%),Yes,Not sure,Release GHG
2/14/2026 9:22:35,Yes,Urban,Yangon,18-25,"Less than 300,000",High school,0,"Bottled water, Plastic containers","Street Vendors, Food Delivery",1-2,Always,Much less than others,Throw in bin,Ends up in landfills,Neutral,Not Sure,Already visible now,Support,Yes,Almost all of it (76%-100%),Yes,51%-75%,Pollutes soil/water
2/16/2026 12:49:34,Yes,Semi-urban,Chin,Over 50,"600,001-1,000,000",University/College,6-10,"Plastic bags, Food sachets","Supermarkets, Online Delivery",More than 10,Sometimes,Less than others,Recycle,Ends up in rivers,Somewhat aware,Yes,Within 3-5 years,Strongly support,Yes,Less than half (1%-25%),Yes,More than 75%,Release GHG
2/17/2026 12:23:41,Yes,Urban,Mon,26-35,"300,000-600,000",Postgraduate,More than 10,"Plastic bags, Bottled water, Food sachets","Local markets, Street Vendors",3-5,Always,About the same,Throw in bin,I don’t know,Very aware,Yes,Already visible now,Strongly support,Yes,More than half (51%-75%),No,25%-50%,Increases the Earth’s temperature
2/19/2026 20:37:29,Yes,Urban,Rakhine,18-25,No income,High school,3-5,"Plastic bags, Plastic straws",Coffee/tea shops,6-10,Always,About the same,Throw in bin,Ends up in landfills,Very aware,Yes,Already visible now,Support,Yes,About half (26%-50%),Yes,51%-75%,Release GHG
2/13/2026 14:03:20,Yes,Semi-urban,Kachin,36-50,"Less than 300,000",Vocational Training,1-2,"Plastic containers, Plastic straws, Food sachets","Supermarkets, Local markets, Food Delivery",3-5,Always,A little more,Throw in bin,Ends up in landfills,Somewhat aware,Yes,More than 10 years,Strongly support,No,Less than half (1%-25%),Yes,More than 75%,Not sure
2/14/2026 9:22:35,Yes,Prefer not to say,Kayin,18-25,"300,000-600,000",University/College,6-10,"Plastic bags, Bottled water, Plastic containers","Local markets, Street Vendors",0,Sometimes,Less than others,Reuse,Burned,Very aware,Not Sure,Already visible now,Strongly support,Yes,Not applicable,Not sure,Not sure,Release GHG
2/16/2026 12:49:34,Yes,Rural,Tanintharyi,18-25,"600,001-1,000,000",Middle school,3-5,Plastic bags,"Online Delivery, Food Delivery",1-2,Always,About the same,Throw in bin,Ends up in landfills,Very aware,Yes,Already visible now,Neutral,Yes,More than half (51%-75%),Yes,51%-75%,Pollutes soil/water
2/17/2026 12:23:41,Yes,Urban,Bago,26-35,Prefer not to say,High school,More than 10,"Bottled water, Disposable forks","Supermarkets, Local markets, Coffee/tea shops",3-5,Always,About the same,Throw in bin,Ends up in landfills,Slightly aware,Yes,Not sure,Support,Yes,About half (26%-50%),Yes,25%-50%,Increases the Earth’s temperature
2/19/2026 20:37:29,Yes,Semi-urban,Yangon,18-25,"More than 1,000,000",University/College,1-2,"Plastic bags, Food sachets",Street Vendors,6-10,Always,About the same,Throw in bin,Ends up in rivers,Somewhat aware,Yes,Already visible now,Strongly support,No,Almost all of it (76%-100%),Yes,More than 75%,Release GHG
2/13/2026 14:03:20,Yes,Urban,Mandalay,18-25,"300,000-600,000",High school,3-5,"Plastic bags, Bottled water, Plastic straws","Local markets, Food Delivery",3-5,Always,Less than others,Recycle,I don’t know,Very aware,No,Already visible now,Strongly support,Yes,Less than half (1%-25%),Yes,Less than 25%,Release GHG
2/14/2026 9:22:35,Yes,Urban,Ayeyarwady,18-25,"Less than 300,000",University/College,6-10,"Plastic containers, Food sachets","Supermarkets, Local markets, Street Vendors",3-5,Sometimes,About the same,Throw in bin,Ends up in landfills,Neutral,Yes,Within 1-2 years,Strongly support,Yes,More than half (51%-75%),No,51%-75%,Not sure
2/16/2026 12:49:34,Yes,Rural,Shan,26-35,No income,Postgraduate,3-5,"Plastic bags, Bottled water, Plastic containers, Food sachets","Coffee/tea shops, Street Vendors",1-2,Always,About the same,Throw in bin,Ends up in landfills,Somewhat aware,Yes,Already visible now,Support,Yes,About half (26%-50%),Yes,Not sure,Pollutes soil/water
2/17/2026 12:23:41,Yes,Semi-urban,Sagaing,36-50,"600,001-1,000,000",Vocational Training,1-2,"Plastic bags, Plastic straws",Local markets,More than 10,Always,Much less than others,Reuse,Burned,Very aware,Not Sure,Already visible now,Strongly support,Yes,Less than half (1%-25%),Yes,25%-50%,Release GHG
2/19/2026 20:37:29,Yes,Urban,Magway,18-25,"300,000-600,000",High school,0,"Bottled water, Food sachets","Supermarkets, Food Delivery",3-5,Always,About the same,Throw in bin,Ends up in landfills,Very aware,Yes,Within 6-10 years,Strongly support,No,About half (26%-50%),Not sure,More than 75%,Increases the Earth’s temperature
2/13/2026 14:03:20,Yes,Urban,Yangon,18-25,"More than 1,000,000",University/College,More than 10,"Plastic bags, Plastic containers","Local markets, Street Vendors, Coffee/tea shops",6-10,Always,Less than others,Throw in bin,Ends up in landfills,Somewhat aware,Yes,Already visible now,Neutral,Yes,More than half (51%-75%),Yes,51%-75%,Release GHG
2/14/2026 9:22:35,Yes,Prefer not to say,Mandalay,26-35,"Less than 300,000",High school,6-10,"Plastic bags, Bottled water, Disposable forks",Online Delivery,More than 10,Always,About the same,Throw in bin,Recycled,Very aware,Yes,Already visible now,Strongly support,Yes,Less than half (1%-25%),Yes,51%-75%,Pollutes soil/water
2/16/2026 12:49:34,Yes,Rural,Mon,18-25,"300,000-600,000",University/College,3-5,"Plastic bags, Food sachets","Supermarkets, Local markets",1-2,Always,A little more,Recycle,Ends up in landfills,Very aware,Yes,Within 3-5 years,Support,Yes,Almost all of it (76%-100%),Yes,Not sure,Not sure
2/17/2026 12:23:41,Yes,Semi-urban,Chin,18-25,No income,Middle school,1-2,"Plastic bags, Bottled water, Plastic straws, Food sachets","Street Vendors, Food Delivery",3-5,Sometimes,About the same,Throw in bin,Ends up in landfills,Not aware,Not Sure,Already visible now,Strongly support,No,Not applicable,Yes,More than 75%,Release GHG
2/19/2026 20:37:29,Yes,Urban,Kayah,Over 50,"600,001-1,000,000",Vocational Training,3-5,Plastic containers,"Local markets, Coffee/tea shops",6-10,Always,Less than others,Throw in bin,I don’t know,Somewhat aware,Yes,Already visible now,Strongly support,Yes,More than half (51%-75%),No,25%-50%,Increases the Earth’s temperature
2/13/2026 14:03:20,Yes,Urban,Rakhine,26-35,Prefer not to say,University/College,6-10,"Plastic bags, Bottled water","Supermarkets, Online Delivery",More than 10,Always,About the same,Throw in bin,Ends up in rivers,Very aware,Yes,More than 10 years,Oppose,Yes,About half (26%-50%),Yes,51%-75%,Release GHG
2/14/2026 9:22:35,Yes,Semi-urban,Bago,18-25,"Less than 300,000",High school,More than 10,"Plastic bags, Food sachets","Local markets, Street Vendors",1-2,Always,About the same,Reuse,Ends up in landfills,Neutral,Yes,Already visible now,Support,Yes,Less than half (1%-25%),Yes,More than 75%,Pollutes soil/water
2/16/2026 12:49:34,Yes,Rural,Ayeyarwady,18-25,"300,000-600,000",Postgraduate,1-2,"Plastic bags, Plastic containers, Plastic straws","Food Delivery, Coffee/tea shops",More than 10,Always,Less than others,Throw in bin,Ends up in landfills,Somewhat aware,No,Already visible now,Strongly support,Yes,More than half (51%-75%),Not sure,Less than 25%,Release GHG
2/17/2026 12:23:41,Yes,Urban,Sagaing,36-50,"More than 1,000,000",University/College,3-5,"Bottled water, Food sachets",Local markets,6-10,Sometimes,About the same,Throw in bin,Burned,Very aware,Yes,Not sure,Strongly support,No,About half (26%-50%),Yes,51%-75%,Not sure
2/19/2026 20:37:29,Yes,Urban,Magway,26-35,"600,001-1,000,000",No formal education,3-5,"Plastic bags, Disposable forks","Supermarkets, Local markets, Street Vendors, Coffee/tea shops",1-2,Always,About the same,Recycle,Ends up in landfills,Very aware,Yes,Already visible now,Neutral,Yes,Almost all of it (76%-100%),Yes,Not sure,Release GHG
2/13/2026 14:03:20,Yes,Semi-urban,Shan,18-25,No income,High school,6-10,"Plastic bags, Bottled water, Plastic containers",Street Vendors,1-2,Always,About the same,Throw in bin,Ends up in landfills,Slightly aware,Not Sure,Already visible now,Support,Yes,Less than half (1%-25%),Yes,25%-50%,Increases the Earth’s temperature
2/14/2026 9:22:35,Yes,Urban,Yangon,18-25,"300,000-600,000",University/College,0,Food sachets,"Food Delivery, Online Delivery",0,Always,Much less than others,Throw in bin,I don’t know,Somewhat aware,Yes,Within 1-2 years,Strongly support,Yes,More than half (51%-75%),Yes,More than 75%,Release GHG
2/16/2026 12:49:34,Yes,Rural,Tanintharyi,26-35,"Less than 300,000",Vocational Training,More than 10,"Plastic bags, Plastic straws","Local markets, Street Vendors",3-5,Always,A little more,Throw in bin,Ends up in landfills,Very aware,Yes,Already visible now,Strongly support,No,About half (26%-50%),No,51%-75%,Doesn’t affect climate change
2/17/2026 12:23:41,Yes,Prefer not to say,Kayin,18-25,"More than 1,000,000",High school,1-2,"Plastic bags, Bottled water, Food sachets","Supermarkets, Coffee/tea shops",0,Always,About the same,Reuse,Ends up in landfills,Neutral,Yes,Already visible now,Support,Yes,Not applicable,Yes,51%-75%,Release GHG
2/19/2026 20:37:29,Yes,Urban,Kachin,18-25,"600,001-1,000,000",University/College,3-5,"Plastic containers, Food sachets","Local markets, Food Delivery",3-5,Always,Less than others,Throw in bin,Burned,Somewhat aware,Yes,Within 6-10 years,Strongly support,Yes,Less than half (1%-25%),Yes,Not sure,Pollutes soil/water
2/13/2026 14:03:20,Yes,Semi-urban,Mandalay,18-25,"300,000-600,000",High school,6-10,"Plastic bags, Bottled water",Street Vendors,3-5,Always,About the same,Throw in bin,Ends up in landfills,Very aware,Not Sure,Already visible now,Strongly support,Yes,More than half (51%-75%),Not sure,More than 75%,Not sure
2/14/2026 9:22:35,Yes,Urban,Yangon,18-25,No income,University/College,3-5,"Plastic bags, Plastic containers, Plastic straws, Disposable forks","Supermarkets, Local markets",3-5,Sometimes,About the same,Throw in bin,Ends up in rivers,Very aware,Yes,Already visible now,Neutral,Yes,About half (26%-50%),Yes,25%-50%,Release GHG
2/16/2026 12:49:34,Yes,Rural,Bago,26-35,"Less than 300,000",Postgraduate,1-2,"Plastic bags, Food sachets","Coffee/tea shops, Food Delivery",3-5,Always,About the same,Recycle,I don’t know,Somewhat aware,Yes,Within 3-5 years,Support,No,Almost all of it (76%-100%),Yes,51%-75%,Increases the Earth’s temperature
2/17/2026 12:23:41,Yes,Urban,Ayeyarwady,18-25,Prefer not to say,Vocational Training,More than 10,"Bottled water, Plastic straws","Local markets, Street Vendors",1-2,Always,Less than others,Throw in bin,Ends up in landfills,Very aware,Yes,Already visible now,Strongly support,Yes,Less than half (1%-25%),Yes,More than 75%,Release GHG
2/19/2026 20:37:29,Yes,Urban,Magway,18-25,"600,001-1,000,000",High school,6-10,"Plastic bags, Plastic containers",Online Delivery,1-2,Always,About the same,Throw in bin,Ends up in landfills,Very aware,No,Already visible now,Strongly support,Yes,More than half (51%-75%),Yes,Less than 25%,Pollutes soil/water
2/13/2026 14:03:20,Yes,Semi-urban,Sagaing,36-50,"300,000-600,000",University/College,3-5,"Plastic bags, Bottled water, Food sachets","Supermarkets, Local markets, Food Delivery",6-10,Always,Much more plastic than others,Burn,Burned,Slightly aware,Yes,More than 10 years,Strongly support,Yes,About half (26%-50%),No,51%-75%,Release GHG
2/14/2026 9:22:35,Yes,Rural,Shan,26-35,"More than 1,000,000",Middle school,1-2,Food sachets,"Street Vendors, Coffee/tea shops",6-10,Always,About the same,Throw in bin,Ends up in landfills,Somewhat aware,Yes,Already visible now,Support,No,Less than half (1%-25%),Yes,Not sure,Not sure
2/16/2026 12:49:34,Yes,Urban,Mon,18-25,"Less than 300,000",High school,3-5,"Plastic bags, Bottled water, Plastic containers",Local markets,3-5,Always,Less than others,Reuse,Ends up in landfills,Very aware,Not Sure,Already visible now,Strongly support,Yes,Not applicable,Yes,25%-50%,Release GHG
2/17/2026 12:23:41,Yes,Urban,Rakhine,18-25,"300,000-600,000",University/College,6-10,"Plastic bags, Plastic straws","Supermarkets, Food Delivery",3-5,Sometimes,About the same,Throw in bin,I don’t know,Neutral,Yes,Not sure,Strongly support,Yes,More than half (51%-75%),Not sure,More than 75%,Increases the Earth’s temperature
2/19/2026 20:37:29,Yes,Semi-urban,Yangon,Over 50,No income,High school,0,"Plastic bags, Food sachets","Local markets, Street Vendors",3-5,Always,About the same,Throw in bin,Ends up in landfills,Somewhat aware,Yes,Already visible now,Neutral,Yes,About half (26%-50%),Yes,51%-75%,Release GHG
